Timestamp,Line,Event_Type,Downtime_Hours,Output_Units,Good_Units,Operator,Shift
2024-03-15 09:26:00,L9,No issue,0.0,2679,2463,Ben,Night
2024-02-04 15:32:00,L9,PM,0.0,585,574,Ben,Day
2024-04-27 03:38:00,T1,Breakdown,0.0,11121,10619,Chen,Day
2024-05-30 23:00:00,P1,Quality stop,0.0,9567,8933,Evan,Day
2024-04-01 21:11:00,T2,PM,4.0,5106,4407,Chen,Day
2024-01-09 20:24:00,L8,Breakdown,0.0,4258,3663,Ben,Night
2024-06-06 15:16:00,L9,No issue,0.0,2048,1920,Asha,Night
2024-10-18 13:05:00,T2,Breakdown,2.0,6647,5995,Chen,Day
2024-11-14 05:14:00,T1,Breakdown,3.0,6331,5668,Chen,Night
2024-06-17 13:42:00,T1,Breakdown,0.0,4341,3891,Asha,Day
2024-07-26 05:07:00,L8,No issue,0.0,9070,8688,Ben,Night
2024-02-18 09:56:00,T1,No issue,0.0,6655,6101,Diya,Day
2024-10-28 03:58:00,T2,No issue,0.0,2832,2408,Asha,Day
2024-02-06 13:19:00,P1,Quality stop,0.0,10954,10914,Asha,Day
2024-06-04 16:16:00,L8,PM,0.0,4655,4348,Ben,Night
2024-06-10 13:55:00,T1,Breakdown,0.0,9624,8623,Evan,Day
2024-01-15 08:45:00,P1,Breakdown,3.0,5643,5296,Chen,Day
2024-06-08 01:54:00,L8,PM,0.0,11701,11181,Ben,Night
2024-05-15 20:53:00,T2,Breakdown,1.0,2913,2808,Ben,Night
2024-02-11 10:21:00,T1,No issue,0.0,539,522,Diya,Night
2024-11-05 06:51:00,T2,PM,0.0,250,233,Ben,Day
2024-01-03 11:19:00,L8,Changeover,1.0,41,37,Ben,Night
2024-01-25 17:40:00,L8,No issue,0.0,4841,4344,Chen,Night
2024-06-25 22:39:00,T1,No issue,0.0,9153,7859,Diya,Day
2024-07-25 01:33:00,L9,No issue,0.0,4922,4713,Chen,Day
2024-10-16 06:10:00,P1,Breakdown,0.0,5480,5459,Asha,Day
2024-12-28 22:34:00,T2,No issue,0.0,582,512,Ben,Day
2024-07-02 09:26:00,P1,No issue,0.0,1452,1311,Evan,Night
2024-07-16 15:58:00,T2,Breakdown,0.0,10805,9590,Asha,Day
2024-05-29 15:05:00,L9,No issue,0.0,11938,11810,Ben,Day
2024-08-31 09:12:00,L9,Quality stop,1.0,10251,9161,Evan,Day
2024-06-07 04:36:00,P1,No issue,0.0,3380,2888,Chen,Night
2024-07-13 23:13:00,T2,No issue,0.0,84,77,Ben,Day
2024-01-13 07:31:00,T2,PM,0.0,8883,7616,Evan,Day
2024-07-05 09:29:00,L8,No issue,0.0,787,719,Chen,Day
2024-11-30 04:59:00,L8,Breakdown,0.0,11291,9782,Ben,Day
2024-09-30 08:43:00,T1,PM,0.0,4177,3701,Chen,Night
2024-04-03 23:39:00,T1,No issue,0.0,4233,4043,Evan,Night
2024-01-24 11:09:00,L8,No issue,0.0,11747,11486,Ben,Night
2024-12-23 00:14:00,L9,No issue,0.0,7384,7148,Diya,Day
2024-07-30 01:40:00,T2,Breakdown,2.0,11971,11764,Asha,Night
2024-05-29 06:55:00,L9,No issue,0.0,7065,6233,Ben,Day
2024-10-12 03:53:00,L9,Breakdown,2.0,1921,1890,Evan,Day
2024-12-14 23:02:00,L8,No issue,0.0,1239,1137,Asha,Night
2024-08-10 15:42:00,L8,No issue,0.0,6630,6163,Asha,Day
2024-08-14 01:11:00,L9,PM,0.0,7565,6499,Asha,Day
2024-03-15 18:43:00,L8,No issue,0.0,316,304,Asha,Night
2024-07-03 03:46:00,L9,PM,0.0,10379,10038,Evan,Night
2024-05-03 06:13:00,T2,No issue,0.0,961,889,Chen,Night
2024-08-24 16:36:00,P1,PM,2.0,7529,7307,Asha,Day
2024-06-17 06:39:00,T1,Quality stop,3.0,8239,7546,Ben,Day
2024-10-26 11:48:00,L8,No issue,0.0,4089,3480,Diya,Day
2024-09-15 20:36:00,L9,PM,0.0,6102,5773,Unknown,Day
2024-08-07 20:03:00,T1,No issue,0.0,1743,1544,Asha,Day
2024-04-03 05:17:00,L9,No issue,0.0,2384,2083,Evan,Day
2024-09-18 04:57:00,L8,No issue,0.0,20,19,Evan,Day
2024-04-04 09:13:00,L8,No issue,0.0,8148,7925,Chen,Day
2024-11-03 11:29:00,L8,Changeover,1.0,10467,9240,Ben,Night
2024-05-23 02:12:00,L8,No issue,0.0,7045,6510,Asha,Day
2024-11-16 12:46:00,T1,No issue,0.0,3384,3265,Ben,Night
2024-06-13 05:11:00,L8,Breakdown,0.0,2358,2227,Asha,Day
2024-01-08 06:47:00,T1,Changeover,2.0,3739,3633,Diya,Day
2024-10-26 07:39:00,L9,PM,3.0,8209,7279,Asha,Day
2024-12-18 18:38:00,P1,No issue,0.0,8013,7449,Chen,Day
2024-12-24 18:31:00,T1,No issue,0.0,6928,6424,Ben,Day
2024-05-16 21:05:00,L9,No issue,0.0,11640,10799,Chen,Day
2024-02-02 09:00:00,L8,Quality stop,0.0,6363,5738,Asha,Day
2024-07-15 12:14:00,T2,Changeover,3.0,1236,1232,Asha,Night
2024-04-07 11:25:00,L8,Quality stop,0.0,9259,9240,Evan,Day
2024-11-27 09:39:00,P1,No issue,0.0,1311,1116,Ben,Night
2024-10-29 19:49:00,T2,PM,1.0,7696,6988,Asha,Night
2024-05-24 03:55:00,T2,PM,2.0,2037,1834,Asha,Day
2024-07-08 21:52:00,P1,Quality stop,0.0,1548,1352,Diya,Night
2024-09-03 02:12:00,L8,No issue,0.0,9254,9095,Ben,Night
2024-02-25 15:34:00,T2,No issue,0.0,1488,1335,Chen,Night
2024-11-13 06:21:00,L8,No issue,0.0,9500,8451,Evan,Day
2024-09-23 21:00:00,L8,Breakdown,1.0,458,448,Diya,Night
2024-12-30 16:58:00,L9,Breakdown,0.0,8033,7051,Chen,Day
2024-03-05 06:57:00,L9,No issue,0.0,8761,7492,Diya,Day
2024-11-04 05:49:00,L9,No issue,0.0,9753,9015,Ben,Day
2024-06-23 08:30:00,L8,PM,1.0,8829,7887,Chen,Day
2024-03-31 00:48:00,T2,No issue,0.0,3618,3147,Asha,Night
2024-10-09 20:26:00,L8,No issue,0.0,519,514,Asha,Day
2024-11-08 07:16:00,L9,Quality stop,2.0,9638,9008,Asha,Night
2024-03-07 06:46:00,P1,No issue,0.0,10196,9768,Chen,Night
2024-08-20 10:44:00,L8,Changeover,0.0,2728,2323,Asha,Night
2024-04-24 16:41:00,L9,No issue,0.0,7496,7366,Unknown,Night
2024-06-28 20:37:00,T2,No issue,0.0,11114,10883,Evan,Day
2024-11-23 16:47:00,L8,Breakdown,1.0,5657,5141,Chen,Day
2024-04-03 08:48:00,T2,Breakdown,1.0,7937,7821,Asha,Night
2024-03-09 09:47:00,L8,No issue,0.0,6709,6193,Diya,Day
2024-01-04 15:38:00,L8,Breakdown,1.0,4673,4563,Evan,Night
2024-03-13 14:19:00,T2,Quality stop,1.0,3828,3777,Chen,Day
2024-02-24 01:27:00,L9,PM,1.0,3833,3614,Diya,Night
2024-11-11 09:27:00,L9,Breakdown,1.0,5258,5258,Asha,Day
2024-01-29 19:49:00,P1,Changeover,0.0,239,209,Ben,Day
2024-07-17 22:57:00,L8,PM,2.0,10176,8672,Chen,Night
2024-05-13 07:02:00,T1,Quality stop,3.0,10798,9946,Ben,Night
2024-03-01 17:51:00,P1,Breakdown,0.0,9283,8555,Asha,Day
2024-01-30 00:11:00,P1,No issue,0.0,49,45,Evan,Day
2024-03-25 06:25:00,L8,Quality stop,0.0,1470,1454,Ben,Night
2024-05-31 17:08:00,T1,No issue,0.0,8259,7985,Diya,Day
2024-03-03 21:42:00,P1,No issue,0.0,11650,11421,Diya,Day
2024-12-17 09:08:00,L8,No issue,0.0,6946,6413,Asha,Day
2024-08-02 00:47:00,P1,Breakdown,1.0,9721,9676,Diya,Night
2024-11-26 07:12:00,P1,Breakdown,1.0,11879,10218,Ben,Night
2024-04-02 19:23:00,L8,Breakdown,2.0,6469,5893,Chen,Day
2024-08-05 14:23:00,L9,No issue,0.0,2167,2001,Unknown,Day
2024-06-02 15:05:00,T1,No issue,0.0,9793,9224,Chen,Day
2024-04-11 19:15:00,T2,Breakdown,0.0,2340,2254,Ben,Night
2024-05-27 12:36:00,T1,Quality stop,0.0,8625,7803,Ben,Day
2024-04-28 17:11:00,L8,No issue,0.0,4847,4694,Asha,Day
2024-03-17 18:13:00,P1,No issue,0.0,266,237,Chen,Day
2024-09-15 00:09:00,T1,Breakdown,2.0,5794,5348,Asha,Night
2024-06-19 09:29:00,P1,No issue,0.0,2670,2462,Evan,Day
2024-09-08 04:39:00,L9,Breakdown,3.0,10118,8949,Evan,Day
2024-02-11 02:07:00,L9,No issue,0.0,6375,6231,Chen,Night
2024-03-03 03:35:00,P1,PM,2.0,5248,4523,Chen,Night
2024-11-29 16:56:00,L8,Quality stop,2.0,9125,7782,Chen,Night
2024-07-06 18:58:00,P1,Breakdown,1.0,2092,1947,Chen,Day
2024-03-24 12:07:00,L8,No issue,0.0,4154,3966,Asha,Night
2024-09-07 02:27:00,P1,No issue,0.0,1382,1372,Diya,Day
2024-06-07 23:44:00,P1,Breakdown,0.0,6587,6040,Ben,Day
2024-04-13 15:36:00,T1,PM,2.0,814,813,Unknown,Night
2024-05-22 00:10:00,T2,No issue,0.0,6260,5664,Chen,Day
2024-12-28 08:28:00,T1,Quality stop,2.0,2786,2722,Ben,Day
2024-10-22 11:51:00,P1,No issue,0.0,9814,8881,Evan,Night
2024-11-29 05:13:00,T2,No issue,0.0,8702,8309,Asha,Night
2024-05-26 08:17:00,P1,No issue,0.0,1484,1269,Asha,Day
2024-12-17 03:28:00,T1,No issue,0.0,8898,8858,Evan,Night
2024-04-20 16:34:00,T2,Breakdown,1.0,4352,3774,Asha,Day
2024-03-09 17:15:00,T1,No issue,0.0,2553,2180,Asha,Day
2024-10-24 16:18:00,P1,PM,0.0,7582,6660,Chen,Day
2024-12-13 00:17:00,P1,Quality stop,0.0,11676,10588,Ben,Day
2024-08-24 08:52:00,T2,No issue,0.0,3845,3453,Evan,Day
2024-08-22 08:19:00,L9,No issue,0.0,11305,9859,Diya,Day
2024-03-23 08:04:00,P1,PM,0.0,1929,1778,Asha,Day
2024-09-25 09:29:00,T2,No issue,0.0,3691,3228,Asha,Night
2024-04-08 03:41:00,T1,PM,0.0,7955,7013,Evan,Night
2024-06-12 12:59:00,L9,Breakdown,0.0,61,56,Asha,Day
2024-08-16 20:06:00,P1,No issue,0.0,11936,11279,Diya,Night
2024-01-13 18:38:00,T2,Breakdown,3.0,8390,7196,Asha,Day
2024-04-20 02:54:00,T1,PM,4.0,1420,1265,Asha,Night
2024-04-07 02:41:00,T2,Breakdown,0.0,7242,7220,Ben,Night
2024-01-16 07:58:00,P1,No issue,0.0,5691,5649,Evan,Night
2024-05-03 17:57:00,T2,No issue,0.0,8354,7777,Ben,Day
2024-10-19 11:47:00,L8,PM,1.0,333,284,Chen,Day
2024-04-29 04:47:00,P1,No issue,0.0,2387,2058,Chen,Day
2024-08-21 14:33:00,L8,PM,1.0,943,809,Asha,Night
2024-12-26 01:20:00,T1,Breakdown,0.0,3575,3170,Evan,Day
2024-12-02 01:12:00,T1,PM,3.0,1921,1852,Unknown,Day
2024-01-19 20:18:00,T2,No issue,0.0,9689,8320,Ben,Day
2024-12-20 08:40:00,T2,PM,4.0,3297,2886,Evan,Day
2024-03-12 08:30:00,T2,Breakdown,1.0,162,158,Evan,Day
